Data,Produkt,Region,Ilosc,Cena_Jednostkowa
2026-03-25,Myszka,Zachod,1,800.0468592736618
2026-03-26,Myszka,Wschod,45,2454.580622540465
2026-03-27,Monitor,Polnoc,20,1866.0197788195826
2026-03-28,Sluchawki,Zachod,23,805.6196146211132
2026-03-29,Klawiatura,Wschod,36,1614.886212001
2026-03-30,Monitor,Polnoc,19,1499.572964737034
2026-03-31,Laptop,Polnoc,48,2390.088288411221
2026-04-01,Laptop,Zachod,13,544.5691195446811
2026-04-02,Laptop,Poludnie,45,277.6866957253013
2026-04-03,Laptop,Wschod,45,2402.7450632266136
2026-04-04,Myszka,Poludnie,18,2345.3866280326847
2026-04-05,Myszka,Wschod,1,2089.9822922688527
2026-04-06,Klawiatura,Poludnie,2,2742.8714343801594
2026-04-07,Myszka,Polnoc,29,260.27631556599374
2026-04-08,Laptop,Poludnie,14,1979.5307041192584
2026-04-09,Sluchawki,Poludnie,38,2211.7243474403967
2026-04-10,Monitor,Wschod,8,2935.012129674973
2026-04-11,Laptop,Zachod,7,2776.1339705264145
2026-04-12,Myszka,Poludnie,6,1285.2292446248473
2026-04-13,Klawiatura,Zachod,19,312.79378011320745
2026-04-14,Monitor,Wschod,6,1322.8106229268783
2026-04-15,Monitor,Polnoc,47,2352.240527885787
2026-04-16,Klawiatura,Wschod,3,2100.360233482993
2026-04-17,Sluchawki,Poludnie,32,1576.7897702180342
2026-04-18,Sluchawki,Wschod,34,2120.5119106844086
2026-04-19,Laptop,Poludnie,10,2151.193261869455
2026-04-20,Myszka,Polnoc,23,314.31329728120755
2026-04-21,Sluchawki,Zachod,6,1073.697992122143
2026-04-22,Myszka,Polnoc,8,1182.3192348399148
2026-04-23,Myszka,Poludnie,24,2377.0390102311535
2026-04-24,Myszka,Zachod,36,2520.1999324970684
2026-04-25,Klawiatura,Poludnie,2,2388.6645372604166
2026-04-26,Laptop,Poludnie,24,2856.4086162926355
2026-04-27,Laptop,Zachod,43,2563.8977333681505
2026-04-28,Sluchawki,Wschod,42,1630.1237406032458
2026-04-29,Klawiatura,Wschod,29,269.6972531396366
2026-04-30,Monitor,Polnoc,33,234.77484794449688
2026-05-01,Myszka,Polnoc,24,1909.818660926206
2026-05-02,Laptop,Wschod,19,2742.22791561325
2026-05-03,Klawiatura,Wschod,34,2718.0915649714966
2026-05-04,Laptop,Wschod,39,2284.042739558249
2026-05-05,Klawiatura,Poludnie,3,2372.637572234085
2026-05-06,Monitor,Poludnie,12,2417.4912043652466
2026-05-07,Laptop,Polnoc,37,139.64122158794038
2026-05-08,Klawiatura,Zachod,39,2238.9886082399607
2026-05-09,Monitor,Polnoc,11,143.17236609664687
2026-05-10,Monitor,Wschod,44,1660.6730592807733
2026-05-11,Klawiatura,Poludnie,5,996.6049318571179
2026-05-12,Monitor,Poludnie,38,2178.492403748494
2026-05-13,Laptop,Poludnie,17,815.2337841095114
2026-05-14,Klawiatura,Zachod,19,689.4622491256221
2026-05-15,Myszka,Polnoc,16,243.35785789017555
2026-05-16,Laptop,Zachod,47,1882.6550664254535
2026-05-17,Laptop,Polnoc,41,2482.819485203344
2026-05-18,Klawiatura,Wschod,48,2520.069894268849
2026-05-19,Myszka,Polnoc,24,2461.7682783725595
2026-05-20,Monitor,Poludnie,1,1396.4302803093733
2026-05-21,Klawiatura,Zachod,43,1269.3280513881032
2026-05-22,Monitor,Poludnie,39,1605.116406980897
2026-05-23,Laptop,Wschod,13,2334.674381316579
2026-05-24,Sluchawki,Polnoc,23,851.3094363228123
2026-05-25,Monitor,Polnoc,6,358.15890826506387
2026-05-26,Myszka,Wschod,33,2613.745282845874
2026-05-27,Monitor,Zachod,22,2348.7350269836897
2026-05-28,Sluchawki,Zachod,27,1724.1544310709787
2026-05-29,Sluchawki,Poludnie,3,212.27319594801185
2026-05-30,Myszka,Polnoc,9,1190.5532922699776
2026-05-31,Laptop,Polnoc,7,552.1843565959966
2026-06-01,Sluchawki,Poludnie,30,2933.746469131581
2026-06-02,Klawiatura,Polnoc,43,1117.5254471969747
2026-06-03,Sluchawki,Poludnie,27,2435.2697565245426
2026-06-04,Monitor,Poludnie,13,814.0455196624972
2026-06-05,Klawiatura,Zachod,47,1103.2724581138996
2026-06-06,Klawiatura,Zachod,8,2269.88574850959
2026-06-07,Monitor,Polnoc,22,2346.1469838341914
2026-06-08,Myszka,Wschod,4,1456.450973992532
2026-06-09,Laptop,Poludnie,30,2116.1878109280665
2026-06-10,Klawiatura,Zachod,41,2440.7149602996305
2026-06-11,Klawiatura,Polnoc,19,2633.1230149326757
2026-06-12,Klawiatura,Zachod,32,1005.1183275509873
2026-06-13,Monitor,Poludnie,18,489.23057806004346
2026-06-14,Myszka,Polnoc,44,1661.694248773529
2026-06-15,Monitor,Poludnie,24,740.7038259567212
2026-06-16,Myszka,Polnoc,35,2595.3868080598672
2026-06-17,Sluchawki,Polnoc,32,1557.2714425768124
2026-06-18,Sluchawki,Poludnie,11,1171.9380494142515
2026-06-19,Sluchawki,Zachod,14,256.9833040374269
2026-06-20,Monitor,Polnoc,48,2283.8799311080334
2026-06-21,Monitor,Polnoc,28,193.70428705507038
2026-06-22,Myszka,Polnoc,35,964.3636089060749
2026-06-23,Klawiatura,Zachod,35,1495.1318233633708
2026-06-24,Klawiatura,Poludnie,22,1398.2515840237193
2026-06-25,Klawiatura,Polnoc,10,193.00173235832253
2026-06-26,Sluchawki,Polnoc,41,1098.6048335952535
2026-06-27,Klawiatura,Wschod,26,1553.1109999113346
2026-06-28,Monitor,Zachod,14,493.9950877007461
2026-06-29,Klawiatura,Wschod,31,2948.616963594063
2026-06-30,Myszka,Poludnie,4,2161.5904485657247
2026-07-01,Klawiatura,Polnoc,25,2265.7108054748555
2026-07-02,Monitor,Poludnie,11,2119.2486824764537
2026-07-03,Laptop,Zachod,39,873.6300200764239
2026-07-04,Laptop,Wschod,1,1740.3536151434987
2026-07-05,Monitor,Zachod,3,777.2784188859978
2026-07-06,Monitor,Poludnie,21,1764.9249034825214
2026-07-07,Myszka,Zachod,39,88.95330157051043
2026-07-08,Monitor,Polnoc,3,595.5770485292762
2026-07-09,Sluchawki,Wschod,27,907.0455871735104
2026-07-10,Klawiatura,Zachod,43,2904.3279148036695
2026-07-11,Klawiatura,Poludnie,50,2748.291391187069
2026-07-12,Myszka,Wschod,47,1193.1188447507166
2026-07-13,Myszka,Polnoc,21,1871.8715181202772
2026-07-14,Monitor,Wschod,26,775.5965740081228
2026-07-15,Laptop,Polnoc,7,627.0639949613295
2026-07-16,Klawiatura,Polnoc,13,2046.7501504313766
2026-07-17,Myszka,Wschod,18,252.11317971362396
2026-07-18,Klawiatura,Polnoc,48,924.5600083461545
2026-07-19,Klawiatura,Wschod,12,1895.5547908204794
